flag_gems.ops.addmm.addmm, [shape info]: [-, 65536, 432, 1152](batch, M, N, K), [count]: 27
flag_gems.ops.mm.general_mm, [shape info]: [-, 256, 16, 4096], [count]: 19
flag_gems.ops.mm.general_mm, [shape info]: [-, 256, 2560, 4096], [count]: 19
flag_gems.ops.mm.general_mm, [shape info]: [-, 160, 2560, 4096], [count]: 18
flag_gems.ops.mm.general_mm, [shape info]: [-, 232, 2560, 4096], [count]: 18
flag_gems.ops.mm.general_mm, [shape info]: [-, 304, 4096, 1024], [count]: 17
flag_gems.ops.mm.general_mm, [shape info]: [-, 120, 16, 4096], [count]: 16
flag_gems.ops.mm.general_mm, [shape info]: [-, 200, 2560, 4096], [count]: 16
flag_gems.ops.mm.general_mm, [shape info]: [-, 496, 2560, 4096], [count]: 16
flag_gems.ops.mm.general_mm, [shape info]: [-, 512, 4096, 1024], [count]: 16
flag_gems.ops.mm.general_mm, [shape info]: [-, 128, 2560, 4096], [count]: 15
flag_gems.ops.mm.general_mm, [shape info]: [-, 176, 2560, 4096], [count]: 15
flag_gems.ops.mm.general_mm, [shape info]: [-, 232, 4096, 1024], [count]: 15
flag_gems.ops.mm.general_mm, [shape info]: [-, 288, 16, 4096], [count]: 15
flag_gems.ops.mm.general_mm, [shape info]: [-, 304, 16, 4096], [count]: 15
flag_gems.ops.mm.general_mm, [shape info]: [-, 368, 16, 4096], [count]: 15
flag_gems.ops.mm.general_mm, [shape info]: [-, 400, 4096, 1024], [count]: 15
flag_gems.ops.mm.general_mm, [shape info]: [-, 192, 2560, 4096], [count]: 14
flag_gems.ops.mm.general_mm, [shape info]: [-, 272, 16, 4096], [count]: 14
flag_gems.ops.mm.general_mm, [shape info]: [-, 304, 2560, 4096], [count]: 14
flag_gems.ops.mm.general_mm, [shape info]: [-, 352, 16, 4096], [count]: 14
flag_gems.ops.mm.general_mm, [shape info]: [-, 128, 16, 4096], [count]: 13
flag_gems.ops.mm.general_mm, [shape info]: [-, 152, 16, 4096], [count]: 13
flag_gems.ops.mm.general_mm, [shape info]: [-, 152, 2560, 4096], [count]: 13
flag_gems.ops.mm.general_mm, [shape info]: [-, 216, 2560, 4096], [count]: 13
flag_gems.ops.mm.general_mm, [shape info]: [-, 496, 16, 4096], [count]: 13
flag_gems.ops.mm.general_mm, [shape info]: [-, 512, 2560, 4096], [count]: 13
flag_gems.ops.mm.general_mm, [shape info]: [-, 200, 16, 4096], [count]: 12
flag_gems.ops.mm.general_mm, [shape info]: [-, 216, 16, 4096], [count]: 12
flag_gems.ops.mm.general_mm, [shape info]: [-, 320, 16, 4096], [count]: 12
flag_gems.ops.mm.general_mm, [shape info]: [-, 320, 2560, 4096], [count]: 12
flag_gems.ops.mm.general_mm, [shape info]: [-, 88, 2560, 4096], [count]: 12
flag_gems.ops.mm.general_mm, [shape info]: [-, 96, 16, 4096], [count]: 12
flag_gems.ops.mm.general_mm, [shape info]: [-, 112, 2560, 4096], [count]: 11
flag_gems.ops.mm.general_mm, [shape info]: [-, 160, 4096, 1024], [count]: 11
flag_gems.ops.mm.general_mm, [shape info]: [-, 224, 2560, 4096], [count]: 11
flag_gems.ops.mm.general_mm, [shape info]: [-, 272, 4096, 1024], [count]: 11
flag_gems.ops.mm.general_mm, [shape info]: [-, 384, 16, 4096], [count]: 11
flag_gems.ops.mm.general_mm, [shape info]: [-, 88, 4096, 1024], [count]: 11
flag_gems.ops.mm.general_mm, [shape info]: [-, 176, 4096, 1024], [count]: 10
flag_gems.ops.mm.general_mm, [shape info]: [-, 216, 4096, 1024], [count]: 10
flag_gems.ops.mm.general_mm, [shape info]: [-, 224, 16, 4096], [count]: 10
flag_gems.ops.mm.general_mm, [shape info]: [-, 496, 4096, 1024], [count]: 10
flag_gems.ops.mm.general_mm, [shape info]: [-, 144, 16, 4096], [count]: 9
flag_gems.ops.mm.general_mm, [shape info]: [-, 16, 16, 4096], [count]: 9
flag_gems.ops.mm.general_mm, [shape info]: [-, 168, 16, 4096], [count]: 9
flag_gems.ops.mm.general_mm, [shape info]: [-, 240, 2560, 4096], [count]: 9
flag_gems.ops.mm.general_mm, [shape info]: [-, 248, 2560, 4096], [count]: 9
flag_gems.ops.mm.general_mm, [shape info]: [-, 432, 4096, 1024], [count]: 9
flag_gems.ops.mm.general_mm, [shape info]: [-, 480, 16, 4096], [count]: 9
flag_gems.ops.mm.general_mm, [shape info]: [-, 72, 2560, 4096], [count]: 9
flag_gems.ops.mm.general_mm, [shape info]: [-, 72, 4096, 1024], [count]: 9
flag_gems.ops.mm.general_mm, [shape info]: [-, 112, 16, 4096], [count]: 8
flag_gems.ops.mm.general_mm, [shape info]: [-, 128, 4096, 1024], [count]: 8
flag_gems.ops.mm.general_mm, [shape info]: [-, 136, 2560, 4096], [count]: 8
flag_gems.ops.mm.general_mm, [shape info]: [-, 152, 4096, 1024], [count]: 8
flag_gems.ops.mm.general_mm, [shape info]: [-, 192, 16, 4096], [count]: 8
flag_gems.ops.mm.general_mm, [shape info]: [-, 256, 4096, 1024], [count]: 8
flag_gems.ops.mm.general_mm, [shape info]: [-, 288, 2560, 4096], [count]: 8
flag_gems.ops.mm.general_mm, [shape info]: [-, 368, 2560, 4096], [count]: 8
flag_gems.ops.mm.general_mm, [shape info]: [-, 464, 2560, 4096], [count]: 8
flag_gems.ops.mm.general_mm, [shape info]: [-, 112, 4096, 1024], [count]: 7
flag_gems.ops.mm.general_mm, [shape info]: [-, 200, 4096, 1024], [count]: 7
flag_gems.ops.mm.general_mm, [shape info]: [-, 288, 4096, 1024], [count]: 7
flag_gems.ops.mm.general_mm, [shape info]: [-, 352, 2560, 4096], [count]: 7
flag_gems.ops.mm.general_mm, [shape info]: [-, 464, 16, 4096], [count]: 7
flag_gems.ops.mm.general_mm, [shape info]: [-, 80, 16, 4096], [count]: 7
flag_gems.ops.mm.general_mm, [shape info]: [-, 80, 2560, 4096], [count]: 7
flag_gems.ops.mm.general_mm, [shape info]: [-, 80, 4096, 1024], [count]: 7
flag_gems.ops.mm.general_mm, [shape info]: [-, 120, 2560, 4096], [count]: 6
flag_gems.ops.mm.general_mm, [shape info]: [-, 144, 2560, 4096], [count]: 6
flag_gems.ops.mm.general_mm, [shape info]: [-, 192, 4096, 1024], [count]: 6
flag_gems.ops.mm.general_mm, [shape info]: [-, 224, 4096, 1024], [count]: 6
flag_gems.ops.mm.general_mm, [shape info]: [-, 24, 2560, 4096], [count]: 6
flag_gems.ops.mm.general_mm, [shape info]: [-, 240, 16, 4096], [count]: 6
flag_gems.ops.mm.general_mm, [shape info]: [-, 240, 4096, 1024], [count]: 6
flag_gems.ops.mm.general_mm, [shape info]: [-, 384, 2560, 4096], [count]: 6
flag_gems.ops.mm.general_mm, [shape info]: [-, 448, 16, 4096], [count]: 6
flag_gems.ops.mm.general_mm, [shape info]: [-, 448, 2560, 4096], [count]: 6
flag_gems.ops.mm.general_mm, [shape info]: [-, 136, 4096, 1024], [count]: 5
flag_gems.ops.mm.general_mm, [shape info]: [-, 248, 4096, 1024], [count]: 5
flag_gems.ops.mm.general_mm, [shape info]: [-, 32, 16, 4096], [count]: 5
flag_gems.ops.mm.general_mm, [shape info]: [-, 336, 16, 4096], [count]: 5
flag_gems.ops.mm.general_mm, [shape info]: [-, 336, 2560, 4096], [count]: 5
flag_gems.ops.mm.general_mm, [shape info]: [-, 448, 4096, 1024], [count]: 5
flag_gems.ops.mm.general_mm, [shape info]: [-, 8, 4096, 1024], [count]: 5
